	Tweets	date	polarity
0	Bitcoin @ 100k USD/coin = 2.1T USD, or 26% the value of all available gold (8T USD)	2017-09-06	0.4
1	Crypto revolution is my long term goal. BTC/LTC/etc replacing fiat as money.	2017-09-06	-0.05
2	"Bitcoin was steered in the wrong direction: 

2017 Is the First Year with Negative Bitcoin Merchant Adoption "	2017-09-06	-0.18333333333333335
3	AltcoinExchange! BUILT FOR TRADERS, BY TRADERS! #crypto #ethereum #altcoins #bitcoin #btc #cryptocurrency	2017-09-06	0.0
4	John, watch it ... Tweet anything even suggesting $BTC is over-priced and the trolls will be on the attack. 	2017-09-06	0.0
5	Under the rubric of 'thou shalt read the literature of the opposition': http://www.marketwatch.com/story/bitcoin-ether-and-other-cryptocurrencies-may-be-seeing-the-beginning-of-the-end-2017-09-06 … The author touches some important issues.	2017-09-06	0.4
6	"#Litecoin offers three key differences from #Bitcoin
https://briandcolwell.com/2017/06/litecoin-the-silver-to-bitcoins-gold/.html … #fintech #blockchain #crypto #ltc #btc #mobilepayments #iot"	2017-09-06	0.05
7	$adx / $btc: +10% value, +4% volume in 1 hour at #Bittrex (#AdEx / #Bitcoin, #altcoin, http://cryptocoinradar.com/#adx )	2017-09-06	0.0
8	You can buy a new Dubai apartment for 50 bitcoin - http://klou.tt/iq12ciacb7p4  #Bitcoin #Business #RealEstate #Dubai	2017-09-06	0.13636363636363635
9	uooMAG: Token #Crowdfund #ICO now live.  Join in with #bitcoin $btc #ethereum $eth $waves http://uoomag.io 	2017-09-06	0.13636363636363635
10	All Bitcoin Nodes are equal but some are more equal than others. #segwit #bitcoin	2017-09-06	0.16666666666666666
11	"We launched 2 new tools! ProfitFinder & PriceCheck: https://dinotrader.com/buy-sell-cryptos-for-the-best-price/ …

$btc $ltc $neo $strat $xvg $vert $pay $trig $sys $ubq $dcr $kmd"	2017-09-06	0.17045454545454544
12	When we did the crawl for our paper, the *majority* of sites we visited that had once accepted Bitcoin no longer did https://arxiv.org/pdf/1708.04748.pdf …	2017-09-06	0.0
13	"Bitcoin was steered in the wrong direction: 

2017 Is the First Year with Negative Bitcoin Merchant Adoption https://www.dashforcenews.com/bitcoin-abc-lead-dev-2017-is-the-first-year-with-negative-bitcoin-merchant-adoption/ …"	2017-09-06	-0.18333333333333335
14	How Bitcoin Rescued Victims of Hurricane Harvey 	2017-09-06	0.0
15	"By the time the weekly RSI turns back over on $BTC, the next alt season will be taking off.
Tip: Rest up. You won't get much sleep in season pic.twitter.com/h0oRBTSUco"	2017-09-06	0.06666666666666667
16	 Will Amazon Accept Bitcoin Soon | Metropolis & First Ethereum ETF! : http://youtu.be/emGJzoIhZJo?a  via @YouTube	2017-09-06	0.3125
17	Giving out 1 bitcoin, if bitcoin hits $5000 before friday. RT+Follow	2017-09-06	0.0
18	If you are in #Geneva #Switzerland come out Monday the 11th at 7pm, I will be entertaining :) #Bitcoin #Blockchian	2017-09-06	0.5
19	I don't envy newbies trying to learn about #bitcoin. The amount of bullshit information out there is mind blowing.	2017-09-06	0.0
20	Bitcoin saves the day, enables charity to continue helping victims of Harvey https://cointelegraph.com/news/how-bitcoin-rescued-victims-of-hurricane-harvey …	2017-09-06	0.0
21	You know what I'm feeling generous. if #Litecoin reaches $90 by Friday. I will send a $LTC to everyone who retweets + follows! #bitcoin $ltc	2017-09-06	0.0
22	Seventy-eight billion reasons why bitcoin is the new gold http://trib.al/FjcWgRL  From @GlobeInvestor	2017-09-06	0.13636363636363635
23	Our first Bitcoin panel in Jan 2014 w @brockpierce @GoCoin @michaelterpin. If u invested more then, you'd be way richer now. Pay attention 	2017-09-06	0.375
24	A police chief in Vicco (KY), was in the news for asking to receive his salary in $BTC, and the city agreed with his request. #bitcoin $LTC	2017-09-06	0.0
25	Lyn reading Ross's letter to everyone at the Austin Bitcoin Meet up yesterday @Free_Ross #FreeRoss	2017-09-06	0.0
26	"mc hammer is at revolt breaking down blockchains and bitcoin. 

god exists"	2017-09-06	-0.15555555555555559
27	Today's #bitcoin prediction assuming we do get an IH&S form $btc $btcusd $crypto	2017-09-06	0.0
28	Regulators approve Canada’s first bitcoin fund manager 	2017-09-06	0.25
29	$gnt / $btc: +10% value, +24% volume in 2 hours at #Poloniex (#altcoin, http://cryptocoinradar.com/#gnt )	2017-09-06	0.0
30	Excited about attending @BreakingBitcoin in Paris: first technical conference focused solely on Bitcoin security. https://bitcoinmagazine.com/articles/breaking-bitcoin-paris-set-host-new-technical-bitcoin-conference/ …	2017-09-06	0.20833333333333334
31	Nobel Prize winner Robert Shiller explains how bitcoin resembles past bubbles http://dlvr.it/PlGvqh  via @CNBC	2017-09-06	-0.25
32	"The whales are already #FistBump ing , they know about #bitcoin....This will send $BTC to the #MOON

#edwardpumps  $crypto #shitcoin $alts"	2017-09-06	0.0
33	Он не прочитал табличку на берегу:Без памперсов в море не выходить 	2017-09-06	0.0
34	#Cryptocurrency Prices Rise Back Above $150 Billion as Investment Rebounds http://bit.ly/2eKSRoy  #bitcoin #blockchain #fintech	2017-09-06	0.0
35	"Me: I wanna ride lambos now
AltBag: just be patient 

$adx $xvg $ubq $wtc $btc $neo"	2017-09-06	0.0
36	"Vote for Best Newcomer coin in 2017
@creamcoin
Vote 4 CREAMcoin -be a Creamer
https://bitcointalk.org/index.php?topic=2156533.msg21580052#msg21580052 …

#bitcoin #BittrexExchange #richiela"	2017-09-06	1.0
37	not to crap on the other thread, but THIS is the kind of diversity Bitcoin/blockchain needs. JURISDICTIONAL diversity, not gender diversity! 	2017-09-06	-0.05833333333333335
38	Remember that time @felixsalmon said Bitcoin would fail because there weren't any women around to work on UI design?	2017-09-06	-0.5
39	Keywords to use in an interview: blockchain, bitcoin, ethereum, the cloud, blockchain, big data, industry trends, and blockchain	2017-09-06	0.0
40	Future Headline: Mainstream financial press, recommending #bitcoin since it was only $100k. 	2017-09-06	0.0
41	POLL: Is bitcoin in a bubble or not?	2017-09-06	0.0
42	Yes, bitcoin is a bubble. Nothing to see here.	2017-09-06	0.0
43	"Inspired by @Yorkyor30444439 here's a Trader Personality Chart

$BTC #bitcoin "	2017-09-06	0.0
44	"Busting 7 #Blockchain / #Bitcoin Myths #Infographic
#Fintech #defstar5 #Mpgvip #SM17 #SMM #SEO #Startup #AI #IoT #makeyourownlane #Marketing"	2017-09-06	0.0
45	Watch out for the 'bitcoin' fraud & speak to family members who may be vulnerable to scams. http://ow.ly/oHs430eXMpK 	2017-09-06	-0.5
46	"Creamcoin
http://cream.technology/index.php/crypto-news/450-how-to-easily-start-investing-in-bitcoin-and-cryptocurrencies …

#bitcoin #investing article"	2017-09-06	0.0
47	We will be releasing a development roadmap early next week $KEK #kekcoin #bitcoin #blockchain #IPFS #fintech #meme	2017-09-06	0.05
48	Bitcoin, A.I, Big Data, Mesh Networks, new job markets, & The climate!  some of the big topics we'll hit in 2017 	2017-09-06	0.056818181818181816
49	$10k bitcoin in december, folks. minimum. 	2017-09-06	0.0
50	Looking forward to Consensus Invest on November 28! https://twitter.com/barrysilbert/status/905493126533570560 …	2017-09-06	0.0
51	Now you can buy a luxury condo with BTC. 	2017-09-06	0.0
52	Build an interactive 30-Day Bitcoin Price Graph with React and an API https://medium.com/@elvismiranda213/how-i-built-an-interactive-30-day-bitcoin-price-graph-with-react-and-an-api-59d36c05bc0a …	2017-09-06	0.0
53	Thankyou for coming was great to meet you and talk you through the project.We will keep you updated on progress #crypto #blockchain #bitcoin 	2017-09-06	0.8
54	Was cool to meet the team from @The_PowerGroup tonight at their meet n greet, interesting project in store and will keep an eye out #power	2017-09-06	0.425
55	How do I set up a beneficiary for my Bitcoin in the inevitable case of my death  ? 	2017-09-06	0.0
56	"Most of #ethereum's founding team is Canadian  It could soon be worth more than bitcoin. 
http://www.cbc.ca/radio/day6/episode-353-hurricane-harvey-ethereum-vs-bitcoin-techno-tourism-in-detroit-the-outsiders-at-50-and-more-1.4267404/a-made-in-canada-cryptocurrency-called-ethereum-will-soon-be-worth-more-than-bitcoin-1.4267425 … #cdntech #cdninnovation"	2017-09-06	0.43333333333333335
57	Betting against bitcoin Betting against bitcoin - 	2017-09-06	0.0
58	"Listening to CNBC Sirius XM radio right now...bitcoin bubble debate goin on:  some dude just said, ""Crypt is hip.""   Barf... "	2017-09-06	0.2857142857142857
