	Tweets	date	polarity
0	Florida Man Overdoses on Bitcoin	2017-09-30	0.0
1	"China’s #bitcoin market alive and well as traders defy crackdown

http://ow.ly/iVGO30fxxTw 

#BTC #cryptocurrency #fintech #in"	2017-09-30	0.1
2	Help get #Substratum on #Binance #BTC #Bitcoin #Blockchain	2017-09-30	0.0
3	Help #Substratum @SubstratumNet $SUB #SUB get on @binance_2017 ! #XRP #BTC #ETH #LTC #RDD !!!! !!!! !!!! !!!! !!!! #MONETHA =) GOOD LUCK!!! 	2017-09-30	0.75
4	Vegan Bitcoin	2017-09-30	0.0
5	A Victory For Bitcoin http://bit.ly/2x4IEve  #fintech #bigdata #news	2017-09-30	0.0
6	"15 $EOS GIVEAWAY

Giving away 15 $EOS at 500 followers. RT this tweet & follow @eos_watch to qualify.

#bitcoin #ethereum #crypto #ico #btc"	2017-09-30	0.0
7	Saturday Fun! If we get #LITECOIN back to $70 by Monday I will send anyone who retweets then follows me a $LTC each!! #bitcoin #altcoin	2017-09-30	0.1875
8	"1hr Report : 19:00:14 UTC Top 10 Mentions
$BTC, $NEO, $ETH, $LTC, $SNT, $OMG, $ZEC, $IOP, $MEME, $XVG"	2017-09-30	0.5
9	If Puerto Rico had an operating #Bitcoin exchange, price would be:	2017-09-30	0.0
10	When people ask me how much I think one bitcoin will be worth in 5 years 	2017-09-30	0.25
11	"RT Fisher85M: #Fintech Basics {Infographic}

#blockchain #IoT #bigdata #bitcoin #bigdata #mL #insurtech http://buff.ly/2kcxQVN  andi_stau…"	2017-09-30	0.0
12	"Upcoming releases/listings #news ""Latest Updated"" 

#BTC =  #QTUM #BAT #EMC2 #BLK #KORE #BCN #FUN #LMC"	2017-09-30	0.4
13	#emc2 is about to blow up again just like $iop $omg $trig so if guys want a really good 2x and possible 3x and 4x this is your chance $btc	2017-09-30	0.35
14	how does @GenesisMining advertise #bitcoin and #litecoin mining but never have it available? asking for a friend...	2017-09-30	0.4
15	Forbes: A victory for #bitcoin ... 	2017-09-30	0.0
