	Tweets	date	polarity
0	Bitcoin Cash Price Technical Analysis – BCH/USD Breaks Higher... http://bit.ly/2vAuOQp  #Analysis #Opinion #Trading	2017-09-02	0.125
1	"@BitcoinCash_Fr @BITCOlNCASH @BitcoinCashFans 
Is Bitcoin Cash Profitable?
http://www.jackobian.com/threads/is-bitcoin-cash-profitable.72306/ …"	2017-09-02	0.0
2	Im all the way up! Nothing can stop Bitcoin cash #bitcoincash #bch $bch. Better buy BCH now before it takes off into the stratosphere!	2017-09-02	0.625
3	What is Bitcoin Cash? A Basic Beginners Guide - Blockgeeks https://blockgeeks.com/guides/what-is-bitcoin-cash/ … by @AmeerRosic #bitcoincash	2017-09-02	0.0
4	Bitcoin Cash (BCH) demand starts rising as investors' desire for cheap BCH outweighing wish to keep things quiet. Expect graph like BTC soon 	2017-09-02	0.2
5	"Bitcoin Cash Statistics Confirm BCH is Just ... - http://bit.ly/2iRHJYf  - #bitcoin
Advertise your #ICO:"	2017-09-02	0.0
6	Bitcoin Cash Statistics Confirm BCH is Just Another Altcoin - Live Bitcoin News http://ift.tt/2vTnQRY  #altcoin	2017-09-02	0.13636363636363635
7	$BTCUSD IRS May Consider #Bitcoin Cash Fork Taxable Income This Year https://news.bitcoin.com/irs-bitcoin-cash/ … $BTC $BCH $BCC #bitcoincash #cryptocurrencies	2017-09-02	0.0
8	"@BitcoinCash_Fr @BITCOlNCASH @BitcoinCashFans 
BUIP063: Support Bitcoin Cash with an official implementation
https://bitco.in/forum/threads/buip063-support-bitcoin-cash-with-an-official-implementation.2613/ …"	2017-09-02	0.0
9	"Retweeted Egon  Bitcoin Cash (@Egon_01):

#Bitcoin Core vs #BitcoinCash 

#winning  http://fb.me/2b4utJwPD "	2017-09-02	0.5
10	"Are You Prepared for the #Bitcoin #Cash Crash?

#BTCC #Bitcoincash $crypto #Fintech #cryptocurrency

https://buff.ly/2vvgpAr "	2017-09-02	0.0
11	"A Basic Beginners Guide for Bitcoin Cash

#BitcoinCash #cryptocurrency #blockchain 
@Blockgks

https://buff.ly/2eOgedP "	2017-09-02	0.0
12	Today also marks the one month anniversary of the bitcoin bastard known as bitcoin cash or BCH.	2017-09-02	0.0
13	"OMG so many pre-made memes @rogerkver $BCH $BCC #bitcoincash ""bitcoin cash"" #bcash!"	2017-09-02	0.625
14	AMA with Bitcoin Cash maintainer /u/deadalnix on September 5th (Tuesday) from 2pm - 5pm UTC, in /r/BitcoinCash. Sp… 	2017-09-02	0.0
15	"He writes in the article: ""...I’m personally not affiliated with Bitcoin Cash per se"" so claiming he's leading Bitcoin Cash is false."	2017-09-02	-0.20000000000000004
16	The Bitcoin Cash Roadmap -  https://chrispacia.wordpress.com/2017/09/01/the-bitcoin-cash-roadmap/ … Great features are coming, hope BCH price will pick up.	2017-09-02	0.8
17	Bitcoin Cash Statistics Confirm BCH is Just Another Altcoin http://ift.tt/2exMm8P  #altcoin	2017-09-02	0.0
18	Will bitcoin cash benefit from a second bitcoin fork? http://bit.ly/2voEUns  #cryptocurrencies #BitcoinCash 	2017-09-02	0.0
19	http://CoinWhip.com  - Bitcoin Cash Faucet - Best Free Bitcoin Cash Faucet, Claim Free BCH Every Hour! https://coinwhip.com/faucet/bitcoin-cash#.WaomoWid3k4.twitter …	2017-09-02	0.6333333333333333
20	http://CoinWhip.com  - Bitcoin Cash Faucet - Best Free Bitcoin Cash Faucet, Claim Free BCH Every Hour! https://coinwhip.com/faucet/bitcoin-cash#.WaomdIo98UQ.twitter …	2017-09-02	0.6333333333333333
21	"Bitcoin Cash cheapest on Liqui USDT-market: $623.68 0.12901106BTC

#bitcoincash $BCHUSD $bch $BCHBTC"	2017-09-02	0.0
22	Pls consider to support bitcoin cash #BCH	2017-09-02	0.0
23	"Bitcoin Cash cheapest on Novaexchange BTC-market: $597.55 0.12504267BTC

$bch $BCHUSD #bitcoincash $BCHBTC"	2017-09-02	0.0
24	Poloniex #10 Market(2.99%) BCH/BTC - Bitcoin Cash Vol(24h):3297.83 BTC / $16,421,800 - Price: $647.35 / 0.13 BTC	2017-09-02	0.0
25	Poloniex #15 Market(1.54%) BCH/USDT - Bitcoin Cash Vol(24h):1697.33 BTC / $8,452,000 - Price: $644.08 / 0.129344 BTC	2017-09-02	0.0
26	$bch bitcoin cash is likely finished its down phase (low of 0.124), and headed up fast - https://poloniex.com/exchange#btc_bch …	2017-09-02	0.011111111111111106
27	CoinExchangeio #15 Market(0.42%) BCH/BTC - Bitcoin Cash Vol(24h):2.16105 BTC / $10,697 - Price: $623.98 / 0.12606 BTC	2017-09-02	0.0
28	Coin Virtual Currency Virtual Currency .01 Bitcoin Cash Bch Hottest Cryptocurrency In Market (Verification Require… 	2017-09-02	0.0
29	#Bitcoin Cash Price Technical Analysis – BCH/USD To Extend Declines http://dlvr.it/PkDNKc 	2017-09-02	0.0
30	"Bitcoin Cash cheapest on Coinexchange BTC-market: $616.44 0.12606002BTC

$BCHUSD $BCHBTC #bitcoincash $bch"	2017-09-02	0.0
