	Tweets	date	polarity
0	Notes from Ethereum Core Devs Meeting #28 [11/17/17] 	2017-11-17	0.0
1	"$NEO closed a 'significant' western contract I read yesterday...

My fundamental analysis is below. 

I think $eth has problem here.. @VitalikButerin will never crack the Chinese market.

NEO will cover China then the globe. This will open up western businesses to China"	2017-11-17	0.04583333333333334
2	Remember to follow me for the chance to win!! @HuffPost and I may up it to 500 #Litecoins if we hit 1000 retweets!! #Bitcoin #giveaway $LTC $BTC $ETH 	2017-11-17	1.0
3	WOW For my one year anniversary as a #1 Bitcoin contributor by the @HuffPost - we are giving away 100 #litecoins randomly to whoever likes and retweets this post. Winners revealed on Sunday! GO! #bitcoin $ltc $etc	2017-11-17	-0.340625
4	"Existing product. Strong team. Only 3 days left to join the Pre-ICO and get your bonus. https://tokensale.liveedu.tv/  
#bitcoin #ethereum #ICO #cryptocurrency #education #smartcontracts #finance #stocks #altcoin #tokensale"	2017-11-17	0.14444444444444443
5	Anyone know any travel agents that do Moon Excursions? Looks like #Bitshares is going to the moon. #bts #btc #bch #eth #ltc #dash #waves pic.twitter.com/X8rofMg8nc	2017-11-17	0.0
6	Many of us are spending a large portion of our lives looking at our phones or computers. Lucyd Lens will give you the same functionality but seamlessly integrated with your view of the world. Read the full article at https://www.coinft.com/blog/2017/11/17/lucyd-building-the-worlds-first-blockchain-fueled-smartglasses … #blockchain #bitcoin #AR #Crypto #Eth	2017-11-17	0.23285714285714282
7	"Support #EOSGOLD by purchasing a small amount of $EOSG at discount rate on EtherDelta to pay for the upcoming exchange listing fees: https://etherdelta.com/#0x7b39940dbac110f1227d37c395675def270afcd7-ETH … 

#ethereum #eos #cryptocurrency #airdrop"	2017-11-17	-0.25
8	"""The surging investment has particularly come from traditional finance.” https://www.forbes.com/sites/cbovaird/2017/11/17/why-the-crypto-market-has-appreciated-more-than-1200-this-year/#1dc89de66eed … #crypto #bitcoin #ethereum"	2017-11-17	0.08333333333333333
9	"#GATCOIN is super easy for customers and for merchants. It's just.... READY, SET, GO!
#Crypto #ICO #Ethereum #RewardsPoints #Blockchain #Cryptocurrency"	2017-11-17	0.33888888888888885
10	"https://medium.com/@stopthefakes/how-it-works-faq-for-requestors-58f957abe72d …

What is the use of your service?

https://stopthefakes.io  #StopTheFakes, #ICO, #blockchain, #ethereum, #copyright"	2017-11-17	0.0
