	Tweets	date	polarity
0	"#Ripple is the only #enterprise-ready public #blockchain
https://briandcolwell.com/2017/06/the-ripple-effect-internationalizing-the-banking-industry/.html … @ripple #fintech #crypto #payments #xrp #iot #ledger #iiot"	2017-09-06	0.0
1	We've launched our new #Mumbai office to serve #India's growing #digitaleconomy https://ripple.com/insights/ripple-launches-new-mumbai-office-serve-indias-digital-economy/ …	2017-09-06	0.13636363636363635
2	$eth $btc $xrp $xem $xmr $WAVES $MUE $NEO $gas #Binance #Bittrex #Bithumb #bitfinex #poloniex #okcoin #kraken #bter #gdax #yunbi #jubi #BTCC	2017-09-06	0.0
3	along with $trst , $crb is most undervalued #altcoin https://twitter.com/sachinksd1/status/905413708767158273 …	2017-09-06	0.5
4	"FYI, that event is #SWELL by @Ripple
#XRPtheStandard"	2017-09-06	0.0
5	Bernanke to give keynote speech at October cryptocurrency event https://bloom.bg/2wK1Mxc  	2017-09-06	0.0
6	#Ripple Tackles #India's #DigitalEconomy by Opening a new #Mumbai Office. #XRP #CryptoTrading #CryptoMining 	2017-09-06	0.13636363636363635
7	"Very exciting to have @ripple in India to work with local ecosystem and banks!
https://lnkd.in/gW5mics "	2017-09-06	0.195
8	"Let me be the ripple,
In your mirror heart. "	2017-09-06	0.0
9	The end of DACA will ripple through families and communities. http://53eig.ht/2eLw8ZI 	2017-09-06	0.0
10	"""A thrilling ripple coursed through her body..."" DRAKE A Dark #Romance Hot #Suspense #crimefiction and Punishment.  http://amzn.to/2vvHwi1 "	2017-09-06	0.11666666666666665
11	So consistently using his platform & voice & reach for good & in ways that make life-changing & concrete differences that have ripple...	2017-09-06	0.3666666666666667
12	#ripple is a lot like 2013 #btc near impossible to figure out how to acquire,leads me to believe ripple will be the next big thing #xrp	2017-09-06	-0.14166666666666666
13	$QWARK $SYS $BTCD $SAFEX $ADX $PTC $BTS $SNT $NAV $KMD $BCC $OMG $RDD $RADS $OMG $NEO $QTUM $ETH $LTC $XVG $PAY $LSK $XRP $DGB $STRAT $BTC https://twitter.com/CryptoGermanBro/status/905475188539752449 …	2017-09-06	0.0
14	Excited about the new #Mumbai @Ripple office! Let's make frictionless global #payments a reality. #xrpthestandard! https://ripple.com/insights/ripple-launches-new-mumbai-office-serve-indias-digital-economy/ …	2017-09-06	0.1818181818181818
15	We've set up shop in #Mumbai - the world's largest recipient corporate & retail remittances worldwide	2017-09-06	0.0
16	Exciting times ahead for @Ripple w #xrpthestandard; who will deliver? https://fedpaymentsimprovement.org/wp-content/uploads/next-step-payments-journey.pdf …	2017-09-06	0.3
17	From 200,000 to 480,000 in one year #xrp #xrpthestandard #Ripple 	2017-09-06	0.0
18	"ALERT
If #Litecoin  breaks $110 on FRIDAY I'm giving away 1.0 $BTC

Retweet + Follow to enter!

$eth $ltc $xrp $bch $xmr $omg $neo"	2017-09-06	0.0
19	#Ripple to host Swell: The Future Is Here - 	2017-09-06	0.0
20	Watch this space re Indonesia and Philippines...on our list.	2017-09-06	0.0
21	2 males arrested by #KGTeamD and @MetTaskforce  after they burgled a residential property and then crashed this stolen car in Ripple Rd! 	2017-09-06	0.0
